车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
6071/6074,普慢,平凉,13:10,安口窑,当天14:23,14:26,宝鸡,19:02
6072/6073,普慢,宝鸡,06:50,安口窑,当天10:40,10:42,平凉,12:02
K1085/K1088,快速,西安,17:38,安口窑,当天22:27,22:29,银川,07:58
K1086/K1087,快速,银川,18:00,安口窑,第2日03:52,03:54,西安,08:28
K1549/K1552,快速,银川,23:30,安口窑,第2日12:08,12:12,重庆,07:39
K1550/K1551,快速,重庆,15:32,安口窑,第2日10:50,11:00,银川,22:19
