车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K2011/K2014,快速,呼和浩特,16:10,西乌旗,第2日04:31,04:34,乌兰浩特,12:45
K2012/K2013,快速,乌兰浩特,15:20,西乌旗,当天23:02,23:04,呼和浩特,11:41
