车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5633,普快,普雄,07:40,尼波,当天08:11,08:16,攀枝花,16:44
5634,普快,攀枝花,08:22,尼波,当天17:19,17:30,普雄,17:59
