车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
6851,普慢,包头东,08:45,乌海北,当天14:44,14:46,乌海西,15:37
6852,普慢,乌海西,09:10,乌海北,当天09:56,09:58,包头东,16:25
