车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2685/2688,普快,满洲里,10:39,成吉思汗,当天19:05,19:08,丹东,13:48
K5196,快速,海拉尔,07:10,成吉思汗,当天13:10,13:12,齐齐哈尔,15:36
