车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5001/5004,普快,济南东,07:35,滨州,当天11:59,12:03,陵城,13:45
5002/5003,普快,陵城,14:25,滨州,当天16:10,16:13,济南,20:46
5047,普快,滨州,07:55,滨州,当天07:55,07:55,东营南,08:45
5048,普快,东营南,09:10,滨州,当天09:52,09:55,陵城,11:37
K1785,快速,北京,14:25,滨州,当天21:10,21:13,东营南,21:46
K1786,快速,东营南,08:15,滨州,当天08:51,08:54,北京,15:26
